audio_001.wav|আমি এখন ভাত খেতে চাই।
audio_002.wav|আজ আকাশ অনেক পরিষ্কার আছে।
audio_003.wav|তুমি কি আমার সাথে আসবে?
audio_004.wav|বই পড়া খুব ভালো অভ্যাস।
audio_005.wav|সে প্রতিদিন সকালে দৌড়াতে যায়।
audio_006.wav|আমি ভালো আছি।
audio_007.wav|আপনার নাম কি?
audio_008.wav|খুব সুন্দর দিন।
audio_009.wav|আমি এখন আসছি।
audio_010.wav|ধন্যবাদ, আবার দেখা হবে।
audio_011.wav|একটু জল দিন।
audio_012.wav|সে বই পড়ছে।
audio_013.wav|তাড়াতাড়ি তৈরি হয়ে নাও।
audio_014.wav|চলো ঘুরতে যাই।
audio_015.wav|মিথ্যা কথা বলো না।
audio_016.wav|বাইরে বৃষ্টি পড়ছে।
audio_017.wav|খাবার খুব সুস্বাদু।
audio_018.wav|দেরি করবেন না।
audio_019.wav|সব ঠিক হয়ে যাবে।
audio_020.wav|আমি তোমাকে সাহায্য করব।
